DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 2.35028, 232.161,   6.856, New tracking position
 2.36694, 232.353,   6.731, On source in elevation
 2.36694, 232.353,   6.731, New tracking position
 2.38361, 232.544,   6.607, On source in elevation
 2.38361, 232.544,   6.607, New tracking position
 2.40028, 232.736,  16.482, Off source in elevation
 2.40028, 232.736,  16.482, New tracking position
 2.41694, 232.927,  16.357, Off source in elevation
 2.41694, 232.927,  16.357, New tracking position
 2.43361, 233.118,  16.231, Off source in elevation
 2.43361, 233.118,  16.231, New tracking position
 2.45028, 233.309,   6.105, On source in elevation
 2.45028, 233.309,   6.105, New tracking position
 2.46694, 233.499,   5.980, On source in elevation
 2.46694, 233.499,   5.980, New tracking position
 2.48361, 233.690,   5.853, On source in elevation
 2.48361, 233.690,   5.853, New tracking position
 2.50028, 233.880,  -8.000, Hot reference on ground (To)
 2.50028, 233.880,  -8.000, New tracking position
 2.51694, 234.069,  -8.000, Hot reference on ground (To)
 2.51694, 234.069,  -8.000, New tracking position
 2.53361, 234.259,  -8.000, Hot reference on ground (To)
 2.53361, 234.259,  -8.000, New tracking position
 2.55028, 234.448,  15.346, Off source in elevation
 2.55028, 234.448,  15.346, New tracking position
 2.56694, 234.637,  15.219, Off source in elevation
 2.56694, 234.637,  15.219, New tracking position
 2.58361, 234.825,  15.092, Off source in elevation
 2.58361, 234.825,  15.092, New tracking position
 2.60028, 235.014,   4.964, On source in elevation
 2.60028, 235.014,   4.964, New tracking position
 2.61694, 235.202,   4.836, On source in elevation
 2.61694, 235.202,   4.836, New tracking position
 2.63361, 235.390,   4.708, On source in elevation
 2.63361, 235.390,   4.708, New tracking position
 2.65028, 235.577,  14.580, Off source in elevation
 2.65028, 235.577,  14.580, New tracking position
 2.66694, 235.765,  14.451, Off source in elevation
 2.66694, 235.765,  14.451, New tracking position
 2.68361, 235.952,  14.323, Off source in elevation
 2.68361, 235.952,  14.323, New tracking position
 2.70028, 236.139,   4.194, On source in elevation
 2.70028, 236.139,   4.194, New tracking position
 2.71694, 236.325,   4.065, On source in elevation
 2.71694, 236.325,   4.065, New tracking position
 2.73361, 236.512,   3.937, On source in elevation
 2.73361, 236.512,   3.937, New tracking position
 2.75028, 236.698,  -8.000, Hot reference on ground (To)
 2.75028, 236.698,  -8.000, New tracking position
 2.76694, 236.884,  -8.000, Hot reference on ground (To)
 2.76694, 236.884,  -8.000, New tracking position
 2.78361, 237.069,  -8.000, Hot reference on ground (To)
 2.78361, 237.069,  -8.000, New tracking position
 2.80028, 237.255,  13.420, Off source in elevation
 2.80028, 237.255,  13.420, New tracking position
 2.81694, 237.440,  13.291, Off source in elevation
 2.81694, 237.440,  13.291, New tracking position
 2.83361, 237.625,  13.161, Off source in elevation
 2.83361, 237.625,  13.161, New tracking position
 2.85028, 237.810,   3.032, On source in elevation
 2.85028, 237.810,   3.032, New tracking position
 2.86694, 237.994,   2.903, On source in elevation
 2.86694, 237.994,   2.903, New tracking position
 2.88361, 238.178,   2.773, On source in elevation
 2.88361, 238.178,   2.773, New tracking position
 2.90028, 238.362,  12.644, Off source in elevation
 2.90028, 238.362,  12.644, New tracking position
 2.91694, 238.546,  12.515, Off source in elevation
 2.91694, 238.546,  12.515, New tracking position
 2.93361, 238.730,  12.386, Off source in elevation
 2.93361, 238.730,  12.386, New tracking position
 2.95028, 238.913,   2.257, On source in elevation
 2.95028, 238.913,   2.257, New tracking position
 2.96694, 239.096,   2.128, On source in elevation
 2.96694, 239.096,   2.128, New tracking position
 2.98361, 239.279,   2.000, On source in elevation
 2.98361, 239.279,   2.000, New tracking position
 3.00028, 239.462,  -8.000, Hot reference on ground (To)
 3.00028, 239.462,  -8.000, New tracking position
 3.01694, 239.644,  -8.000, Hot reference on ground (To)
 3.01694, 239.644,  -8.000, New tracking position
 3.03361, 239.826,  -8.000, Hot reference on ground (To)
 3.03361, 239.826,  -8.000, New tracking position
 3.05028, 240.009,  11.488, Off source in elevation
 3.05028, 240.009,  11.488, New tracking position
 3.06694, 240.190,  11.361, Off source in elevation
 3.06694, 240.190,  11.361, New tracking position
 3.08361, 240.372,  11.234, Off source in elevation
 3.08361, 240.372,  11.234, New tracking position
 3.10028, 240.553,   1.108, On source in elevation
 3.10028, 240.553,   1.108, New tracking position
 3.11694, 240.735,   0.982, On source in elevation
 3.11694, 240.735,   0.982, New tracking position
 3.13361, 240.916,   0.857, On source in elevation
 3.13361, 240.916,   0.857, New tracking position
 3.15028, 241.097,  10.733, Off source in elevation
 3.15028, 241.097,  10.733, New tracking position
 3.16694, 241.277,  10.609, Off source in elevation
 3.16694, 241.277,  10.609, New tracking position
 3.18361, 241.458,  10.486, Off source in elevation
 3.18361, 241.458,  10.486, New tracking position
 3.20028, 241.638,   0.364, On source in elevation
 3.20028, 241.638,   0.364, New tracking position
 3.21694, 241.818,   0.243, On source in elevation
 3.21694, 241.818,   0.243, New tracking position
 3.23361, 241.998,   0.123, On source in elevation
 3.23361, 241.998,   0.123, New tracking position
 3.25028, 242.177,  -8.000, Hot reference on ground (To)
 3.25028, 242.177,  -8.000, New tracking position
 3.26694, 242.357,  -8.000, Hot reference on ground (To)
 3.26694, 242.357,  -8.000, New tracking position
 3.28361, 242.536,  -8.000, Hot reference on ground (To)
 3.28361, 242.536,  -8.000, New tracking position
 3.30028, 242.715,   9.652, Off source in elevation
 3.30028, -77.015,  -2.731, Rotor position possibly out of range
 3.30028, 242.715,   9.652, Moon position possibly out of range
 3.31694, 242.894,   9.538, Off source in elevation
 3.31694, -77.194,  -2.842, Rotor position possibly out of range
 3.31694, 242.894,   9.538, Moon position possibly out of range
 3.33361, 243.073,   9.425, Off source in elevation
 3.33361, -77.373,  -2.952, Rotor position possibly out of range
 3.33361, 243.073,   9.425, Moon position possibly out of range
 3.35028, 243.251,  -0.687, On source in elevation
 3.35028, -77.551, -13.061, Rotor position possibly out of range
 3.35028, 243.251,  -0.687, Moon position possibly out of range
 3.36694, 243.430,  -0.798, On source in elevation
 3.36694, -77.730, -13.168, Rotor position possibly out of range
 3.36694, 243.430,  -0.798, Moon position possibly out of range
 3.38361, 243.608,  -0.907, On source in elevation
 3.38361, -77.908, -13.274, Rotor position possibly out of range
 3.38361, 243.608,  -0.907, Moon position possibly out of range
 3.40028, 243.786,   8.985, Off source in elevation
 3.40028, -78.086,  -3.379, Rotor position possibly out of range
 3.40028, 243.786,   8.985, Moon position possibly out of range
 3.41694, 243.964,   8.878, Off source in elevation
 3.41694, -78.264,  -3.482, Rotor position possibly out of range
 3.41694, 243.964,   8.878, Moon position possibly out of range
 3.43361, 244.142,   8.772, Off source in elevation
 3.43361, -78.442,  -3.584, Rotor position possibly out of range
 3.43361, 244.142,   8.772, Moon position possibly out of range
 3.45028, 244.319,  -1.332, On source in elevation
 3.45028, -78.619, -13.686, Rotor position possibly out of range
 3.45028, 244.319,  -1.332, Moon position possibly out of range
 3.46694, 244.497,  -1.436, On source in elevation
 3.46694, -78.797, -13.786, Rotor position possibly out of range
 3.46694, 244.497,  -1.436, Moon position possibly out of range
 3.48361, 244.674,  -1.539, On source in elevation
 3.48361, -78.974, -13.885, Rotor position possibly out of range
 3.48361, 244.674,  -1.539, Moon position possibly out of range
 3.50028, 244.851,  -8.000, Hot reference on ground (To)
 3.50028, -79.151, -20.344, Rotor position possibly out of range
 3.50028, 244.851,  -8.000, Moon position possibly out of range
 3.51694, 245.028,  -8.000, Hot reference on ground (To)
 3.51694, -79.328, -20.340, Rotor position possibly out of range
 3.51694, 245.028,  -8.000, Moon position possibly out of range
 3.53361, 245.204,  -8.000, Hot reference on ground (To)
