start_scan_UTC,end_scan_UTC,amplitude_fit,delta_azi_fit,delta_ele_fit,sigma_azi_fit,sigma_ele_fit,aziref,eleref,quality_check
2025-04-07 13:59:00,2025-04-07 14:00:00,148.90458357785198,0.4227998514027001,-0.2095991929041718,1.2082719766065046,1.188442092140947,182.4,60.5,1
2025-04-08 08:59:00,2025-04-08 09:00:00,151.71079922027178,0.1869340002822266,-0.1381395265491249,1.4404116394044997,1.2335063869065677,182.4,60.5,1
2025-04-08 09:59:00,2025-04-08 10:00:00,151.52749178041947,-0.322845914914432,-0.1621130208462233,1.3964691891288623,1.2537632158585814,182.4,60.5,1
2025-04-08 10:59:00,2025-04-08 11:00:00,151.215588807769,-0.5912298264538457,-0.1782289239130897,1.3797311409167832,1.1797309215016414,182.4,60.5,1
2025-04-08 11:59:00,2025-04-08 12:00:00,149.37963847399794,-0.5205692519254026,-0.2052362286978989,1.362477645595534,1.1546559544789805,182.4,60.5,1
2025-04-08 12:59:00,2025-04-08 13:00:00,148.9121792595623,-0.1003667070479624,-0.1917821231456577,1.4516087536380995,1.175392440700082,182.4,60.5,1
2025-04-08 13:59:00,2025-04-08 14:00:00,149.1753949188113,0.4238680323835497,-0.1799425728131885,1.262360223660557,1.1655861631734046,182.4,60.5,1
2025-04-09 08:59:00,2025-04-09 09:00:00,149.38680969516057,0.1578113996027408,-0.0957100118304271,1.3748483104825506,1.2878842746414771,182.4,60.5,1
2025-04-09 09:59:00,2025-04-09 10:00:00,149.20369202466225,-0.3217172665785976,-0.1226605546671755,1.4281576375312446,1.2607301496751984,182.4,60.5,1
2025-04-09 10:59:00,2025-04-09 11:00:00,149.74661865748544,-0.6703246405396549,-0.1350521378004349,1.3863114922696704,1.1492989977748067,182.4,60.5,1
2025-04-09 11:59:00,2025-04-09 12:00:00,149.5921253242802,-0.5479607748249872,-0.1216707121605203,1.433305900098139,1.1311139124955456,182.4,60.5,1
2025-04-09 12:59:00,2025-04-09 13:00:00,148.9714206244137,-0.178983050193257,-0.1564593093704443,1.4128650328019317,1.1796849906947895,182.4,60.5,1
2025-04-09 13:59:00,2025-04-09 14:00:00,148.59794004377076,0.3102978373102583,-0.1426406009037451,1.2465059998043255,1.169773706610546,182.4,60.5,1
2025-04-10 08:59:00,2025-04-10 09:00:00,150.68825796756738,0.0974501641226679,-0.0848721205751528,1.516467887888317,1.2804680424266837,182.4,60.5,1
2025-04-10 09:59:00,2025-04-10 10:00:00,150.69219508648823,-0.4616017985096685,-0.0915070925355318,1.4133239383688414,1.2254005102307577,182.4,60.5,1
2025-04-10 10:59:00,2025-04-10 11:00:00,149.92311391752426,-0.7839459726669179,-0.1273364466361897,1.4486980158439766,1.1683871949616136,182.4,60.5,0
2025-04-10 11:59:00,2025-04-10 12:00:00,149.01688416273873,-0.6125687511694174,-0.1445217305219277,1.4368748204340558,1.1479699749166392,182.4,60.5,1
2025-04-10 12:59:00,2025-04-10 13:00:00,148.78430054483516,-0.2506987329467843,-0.1755158253346497,1.3744205781430412,1.198843926199632,182.4,60.5,1
2025-04-10 13:59:00,2025-04-10 14:00:00,148.39469063110607,0.3055507187567511,-0.1477283330415508,1.198006240576361,1.1782846419805666,182.4,60.5,1
2025-04-11 08:59:00,2025-04-11 09:00:00,149.36924360175635,0.0976796450666859,-0.0182094339969452,1.392730264824828,1.2731702052239724,182.4,60.5,1
2025-04-11 09:59:00,2025-04-11 10:00:00,149.18051490845622,-0.4111878775829821,0.0260727390713844,1.5767885036293503,1.201906745532771,182.4,60.5,1
2025-04-11 10:59:00,2025-04-11 11:00:00,149.29094033116266,-0.6913239663356657,-0.0808423961051558,1.4449988618082896,1.1711941527650844,182.4,60.5,1
2025-04-11 11:59:00,2025-04-11 12:00:00,149.06233423078294,-0.6003128202710334,-0.0708375713236294,1.3912474831711394,1.1628391805388458,182.4,60.5,1
