DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
13.16667, 210.651,  37.106, New tracking position
13.18333, 210.944,  37.018, New tracking position
13.20000, 211.236,  36.929, New tracking position
13.21667, 211.527,  36.839, New tracking position
13.23333, 211.818,  36.749, New tracking position
13.25000, 212.108,  36.657, New tracking position
13.26667, 212.397,  36.565, New tracking position
13.28333, 212.686,  36.472, New tracking position
13.30000, 212.973,  36.379, New tracking position
13.31667, 213.261,  36.285, New tracking position
13.33333, 213.547,  36.190, New tracking position
13.35000, 213.833,  36.094, New tracking position
13.36667, 214.118,  35.997, New tracking position
13.38333, 214.402,  35.900, New tracking position
13.40000, 214.685,  35.802, New tracking position
13.41667, 214.968,  35.704, New tracking position
13.43333, 215.250,  35.605, New tracking position
13.45000, 215.531,  35.505, New tracking position
13.46667, 215.812,  35.404, New tracking position
13.48333, 216.092,  35.303, New tracking position
13.50000, 216.371,  35.201, New tracking position
13.51667, 216.650,  35.098, New tracking position
13.53333, 216.927,  34.995, New tracking position
13.55000, 217.204,  34.890, New tracking position
13.56667, 217.481,  34.786, New tracking position
13.58333, 217.756,  34.680, New tracking position
13.60000, 218.031,  34.574, New tracking position
13.61667, 218.305,  34.468, New tracking position
13.63333, 218.578,  34.360, New tracking position
13.65000, 218.851,  34.252, New tracking position
13.66667, 219.123,  34.144, New tracking position
13.68333, 219.394,  34.035, New tracking position
13.70028, 219.665,  33.925, New tracking position
13.71694, 219.935,  33.814, New tracking position
13.73361, 220.204,  33.703, New tracking position
13.75028, 220.476,  33.590, New tracking position
13.76694, 220.739,  33.479, New tracking position
13.78361, 221.006,  33.366, New tracking position
13.80028, 221.277,  33.251, New tracking position
13.81694, 221.542,  33.136, New tracking position
13.83361, 221.807,  33.022, New tracking position
13.85028, 222.071,  32.906, New tracking position
13.86694, 222.334,  32.790, New tracking position
13.88361, 222.597,  32.674, New tracking position
13.90028, 222.859,  32.557, New tracking position
13.91694, 223.120,  32.439, New tracking position
13.93361, 223.380,  32.321, New tracking position
13.95028, 223.640,  32.202, New tracking position
13.96694, 223.899,  32.082, New tracking position
13.98333, 224.153,  31.964, New tracking position
14.00000, 224.411,  31.844, New tracking position
14.01667, 224.668,  31.723, New tracking position
14.03333, 224.924,  31.601, New tracking position
14.05000, 225.180,  31.479, New tracking position
14.06667, 225.435,  31.356, New tracking position
14.08333, 225.689,  31.233, New tracking position
14.10000, 225.942,  31.109, New tracking position
14.11667, 226.195,  30.985, New tracking position
14.13333, 226.447,  30.860, New tracking position
14.15000, 226.699,  30.734, New tracking position
14.16667, 226.949,  30.608, New tracking position
14.18333, 227.199,  30.482, New tracking position
14.20000, 227.449,  30.355, New tracking position
14.21667, 227.698,  30.228, New tracking position
14.23333, 227.946,  30.100, New tracking position
14.25000, 145.000,  50.000, Cold sky reference position (Tref = Tcold)
14.25000, 145.000,  50.000, New tracking position
14.26667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
