# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 186.300 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
13.01302; 202.758;  16.995; -16.458; -43.507;Commanded position az=-16.458, el=-43.507
13.01358; 202.758;  16.495; -16.458; -44.007;Commanded position az=-16.458, el=-44.007
13.01414; 202.758;  15.995; -16.458; -44.507;Commanded position az=-16.458, el=-44.507
13.01469; 202.758;  15.495; -16.458; -45.007;Commanded position az=-16.458, el=-45.007
13.01525; 202.758;  14.995; -16.458; -45.507;Commanded position az=-16.458, el=-45.507
13.01581; 202.758;  14.495; -16.458; -46.007;Commanded position az=-16.458, el=-46.007
13.01636; 202.758;  13.995; -16.458; -46.507;Commanded position az=-16.458, el=-46.507
13.01692; 202.758;  13.495; -16.458; -47.007;Commanded position az=-16.458, el=-47.007
13.01747; 202.758;  12.995; -16.458; -47.507;Commanded position az=-16.458, el=-47.507
13.01803; 203.258;  12.995; -16.958; -47.507;Commanded position az=-16.958, el=-47.507
13.01859; 203.258;  13.495; -16.958; -47.007;Commanded position az=-16.958, el=-47.007
13.01914; 203.258;  13.995; -16.958; -46.507;Commanded position az=-16.958, el=-46.507
13.01970; 203.258;  14.495; -16.958; -46.007;Commanded position az=-16.958, el=-46.007
13.02026; 203.258;  14.995; -16.958; -45.507;Commanded position az=-16.958, el=-45.507
13.02081; 203.258;  15.495; -16.958; -45.007;Commanded position az=-16.958, el=-45.007
13.02137; 203.258;  15.995; -16.958; -44.507;Commanded position az=-16.958, el=-44.507
13.02193; 203.258;  16.495; -16.958; -44.007;Commanded position az=-16.958, el=-44.007
13.02249; 203.258;  16.995; -16.958; -43.507;Commanded position az=-16.958, el=-43.507
13.02304; 203.258;  17.495; -16.958; -43.007;Commanded position az=-16.958, el=-43.007
13.02360; 203.258;  17.995; -16.958; -42.507;Commanded position az=-16.958, el=-42.507
13.02416; 203.258;  18.495; -16.958; -42.007;Commanded position az=-16.958, el=-42.007
13.02471; 203.258;  18.995; -16.958; -41.507;Commanded position az=-16.958, el=-41.507
13.02527; 203.258;  19.495; -16.958; -41.007;Commanded position az=-16.958, el=-41.007
13.02583; 203.258;  19.995; -16.958; -40.507;Commanded position az=-16.958, el=-40.507
13.02638; 203.258;  20.495; -16.958; -40.007;Commanded position az=-16.958, el=-40.007
13.02694; 203.258;  20.995; -16.958; -39.507;Commanded position az=-16.958, el=-39.507
13.02750; 203.258;  21.495; -16.958; -39.007;Commanded position az=-16.958, el=-39.007
13.02805; 203.258;  21.995; -16.958; -38.507;Commanded position az=-16.958, el=-38.507
13.02861; 203.258;  22.495; -16.958; -38.007;Commanded position az=-16.958, el=-38.007
13.02917; 203.258;  22.995; -16.958; -37.507;Commanded position az=-16.958, el=-37.507
13.02972; 203.758;  22.995; -17.458; -37.507;Commanded position az=-17.458, el=-37.507
13.03028; 203.758;  22.495; -17.458; -38.007;Commanded position az=-17.458, el=-38.007
13.03084; 203.758;  21.995; -17.458; -38.507;Commanded position az=-17.458, el=-38.507
13.03139; 203.758;  21.495; -17.458; -39.007;Commanded position az=-17.458, el=-39.007
13.03195; 203.758;  20.995; -17.458; -39.507;Commanded position az=-17.458, el=-39.507
13.03251; 203.758;  20.495; -17.458; -40.007;Commanded position az=-17.458, el=-40.007
13.03306; 203.758;  19.995; -17.458; -40.507;Commanded position az=-17.458, el=-40.507
13.03362; 203.758;  19.495; -17.458; -41.007;Commanded position az=-17.458, el=-41.007
13.03417; 203.758;  18.995; -17.458; -41.507;Commanded position az=-17.458, el=-41.507
13.03473; 203.758;  18.495; -17.458; -42.007;Commanded position az=-17.458, el=-42.007
