DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT]; Azimuth[deg]; Elevation[deg]; Message
 8.83761;  39.947; -51.651; Commanded position az=39.947, el=-51.651
 8.83782;  39.947; -52.151; Commanded position az=39.947, el=-52.151
 8.83802;  39.947; -52.651; Commanded position az=39.947, el=-52.651
 8.83823;  39.947; -53.151; Commanded position az=39.947, el=-53.151
 8.83844;  39.947; -53.651; Commanded position az=39.947, el=-53.651
 8.83865;  39.947; -54.151; Commanded position az=39.947, el=-54.151
 8.83886;  39.947; -54.651; Commanded position az=39.947, el=-54.651
 8.83907;  39.947; -55.151; Commanded position az=39.947, el=-55.151
 8.83928;  39.947; -55.651; Commanded position az=39.947, el=-55.651
 8.83949;  39.947; -56.151; Commanded position az=39.947, el=-56.151
 8.83970;  39.947; -56.651; Commanded position az=39.947, el=-56.651
 8.83991;  39.947; -57.151; Commanded position az=39.947, el=-57.151
 8.84012;  39.447; -57.151; Commanded position az=39.447, el=-57.151
 8.84033;  39.447; -56.651; Commanded position az=39.447, el=-56.651
 8.84054;  39.447; -56.151; Commanded position az=39.447, el=-56.151
 8.84075;  39.447; -55.651; Commanded position az=39.447, el=-55.651
 8.84096;  39.447; -55.151; Commanded position az=39.447, el=-55.151
 8.84117;  39.447; -54.651; Commanded position az=39.447, el=-54.651
 8.84138;  39.447; -54.151; Commanded position az=39.447, el=-54.151
 8.84159;  39.447; -53.651; Commanded position az=39.447, el=-53.651
 8.84180;  39.447; -53.151; Commanded position az=39.447, el=-53.151
 8.84201;  39.447; -52.651; Commanded position az=39.447, el=-52.651
 8.84222;  39.447; -52.151; Commanded position az=39.447, el=-52.151
 8.84242;  39.447; -51.651; Commanded position az=39.447, el=-51.651
 8.84263;  39.447; -51.151; Commanded position az=39.447, el=-51.151
 8.84284;  39.447; -50.651; Commanded position az=39.447, el=-50.651
 8.84305;  39.447; -50.151; Commanded position az=39.447, el=-50.151
 8.84326;  39.447; -49.651; Commanded position az=39.447, el=-49.651
 8.84347;  39.447; -49.151; Commanded position az=39.447, el=-49.151
 8.84368;  39.447; -48.651; Commanded position az=39.447, el=-48.651
 8.84389;  39.447; -48.151; Commanded position az=39.447, el=-48.151
 8.84410;  39.447; -47.651; Commanded position az=39.447, el=-47.651
 8.84431;  39.447; -47.151; Commanded position az=39.447, el=-47.151
 8.84452;  39.447; -46.651; Commanded position az=39.447, el=-46.651
 8.84473;  39.447; -46.151; Commanded position az=39.447, el=-46.151
 8.84494;  39.447; -45.651; Commanded position az=39.447, el=-45.651
 8.84515;  39.447; -45.151; Commanded position az=39.447, el=-45.151
 8.84536;  39.447; -44.651; Commanded position az=39.447, el=-44.651
 8.84557;  39.447; -44.151; Commanded position az=39.447, el=-44.151
 8.84578;  39.447; -43.651; Commanded position az=39.447, el=-43.651
 8.84599;  39.447; -43.151; Commanded position az=39.447, el=-43.151
 8.84620;  39.447; -42.651; Commanded position az=39.447, el=-42.651
 8.84641;  39.447; -42.151; Commanded position az=39.447, el=-42.151
 8.84662;  39.447; -41.651; Commanded position az=39.447, el=-41.651
 8.84683;  39.447; -41.151; Commanded position az=39.447, el=-41.151
 8.84704;  39.447; -40.651; Commanded position az=39.447, el=-40.651
 8.84725;  39.447; -40.151; Commanded position az=39.447, el=-40.151
 8.84745;  39.447; -39.651; Commanded position az=39.447, el=-39.651
 8.84766;  39.447; -39.151; Commanded position az=39.447, el=-39.151
